smiles,atom1,atom2,L,Bmin,Bmax,PercentBuried_Volume,Percent_Buried_Sheel,Occupied_Volume
c1ccccc1_5,4.0,5.0,4.26896861,1.7,4.447045612372075,36.5894227629427,0.0,78.90375000000002
C(F)(F)(F)_0,3.0,1.0,3.23491185,1.79357875011284,2.754724222544959,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)_1,3.0,1.0,3.23491185,1.79357875011284,2.754724222544959,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)_2,3.0,2.0,3.65298587,1.47,3.360521552541595,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)_3,3.0,2.0,3.65298587,1.47,3.360521552541595,23.16562852054081,0.0,41.93225000000001
C(F)(F)(F)(F)_0,3.0,1.0,3.26137285,2.1053442599245153,2.73669207500531,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_1,3.0,1.0,3.26137285,2.1053442599245153,2.73669207500531,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_2,3.0,1.0,3.26137285,2.1053442599245153,2.73669207500531,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_3,3.0,2.0,3.6639741700000004,1.47,3.370038107160096,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_4,3.0,2.0,3.6639741700000004,1.47,3.370038107160096,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_5,3.0,2.0,3.6639741700000004,1.47,3.370038107160096,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_9,3.0,4.0,3.6639738900000003,1.47,3.3700383404501597,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_10,3.0,4.0,3.6639738900000003,1.47,3.3700383404501597,26.049739105732154,0.0,47.35212500000001
C(F)(F)(F)(F)_11,3.0,4.0,3.6639738900000003,1.47,3.3700383404501597,26.049739105732154,0.0,47.35212500000001
